Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2/7/20,309.604091,310.6924616,308.4691912,309.0273438,64139400,7,4,6,2,2020
2/10/20,308.1250228,311.3994745,308.087805,311.3343506,42070000,10,0,7,2,2020
2/11/20,312.7111161,313.511113,311.3343434,311.8739014,54864500,11,1,7,2,2020
2/12/20,313.3343398,314.0971474,312.9622476,313.8832092,43992700,12,2,7,2,2020
2/13/20,312.432065,314.5344278,312.1530029,313.5483704,54501900,13,3,7,2,2020
2/14/20,313.9669711,314.1716261,312.7483525,314.0506897,64582200,14,4,7,2,2020
2/18/20,313.0366475,314.1157348,311.8273124,313.2413025,57226200,18,1,8,2,2020
2/19/20,314.2274209,315.4274163,313.9390472,314.7390442,48814700,19,2,8,2,2020
2/20/20,314.1808874,315.0181305,310.4040956,313.4460144,74163400,20,3,8,2,2020
2/21/20,312.0692262,312.385506,309.3808051,310.2180481,113788200,21,4,8,2,2020
2/24/20,300.5993429,310.2924786,298.8318549,299.9295654,161088400,24,0,9,2,2020
2/25/20,301.3435374,301.9667856,289.9480373,290.8410645,218913200,25,1,9,2,2020
2/26/20,292.2642894,295.9201444,289.0270558,289.7712402,194773800,26,2,9,2,2020
2/27/20,284.1525389,289.8270373,276.7571106,276.7571106,284353500,27,3,9,2,2020
2/28/20,268.561622,277.110572,265.6220457,275.5942688,384975800,28,4,9,2,2020
3/2/20,277.4083195,287.5945124,273.9199012,287.5293884,238703600,2,0,10,3,2020
3/3/20,287.9107679,291.948027,276.8129542,279.2966919,300139100,3,1,10,3,2020
3/4/20,284.7665062,291.2596245,282.1711155,291.0363464,176613400,4,2,10,3,2020
3/5/20,283.7061436,286.9526898,279.0828246,281.361908,186366800,5,3,10,3,2020
3/6/20,272.7012792,277.9385624,269.9849801,276.7106323,228667200,6,4,10,3,2020
3/9/20,256.0963381,264.3662266,254.3754082,255.1009979,309417300,9,0,11,3,2020
3/10/20,264.7849748,268.3943018,254.4220309,268.3013,276444100,10,1,11,3,2020
3/11/20,261.1197159,262.2732103,251.9847055,255.2219391,255316300,11,2,11,3,2020
3/12/20,238.1426548,248.0590672,230.4030117,230.8030243,392220700,12,3,11,3,2020
3/13/20,244.7380587,252.5428249,231.1844017,250.533493,329566100,13,4,11,3,2020
3/16/20,224.35643,238.9798791,220.8029023,223.1192169,297240000,16,0,12,3,2020
3/17/20,227.9471847,238.3008283,220.5331465,235.1658936,262070500,17,1,12,3,2020
